Player,PlayerLine
JULIET,"I do, and bear the shame most patiently."
JULIET,I'll gladly learn.
JULIET,"Yes, as I love the woman that wrong'd him."
JULIET,Mutually.
JULIET,"I do confess it, and repent it, father."
JULIET,"I do repent me, as it is an evil,"
JULIET,And take the shame with joy.
JULIET,"Must die to-morrow! O injurious love,"
JULIET,"That respites me a life, whose very comfort"
JULIET,Is still a dying horror!
ROMEO,Is the day so young?
ROMEO,Ay me! sad hours seem long.
ROMEO,Was that my father that went hence so fast?
ROMEO,"Not having that, which, having, makes them short."
ROMEO,Out--
ROMEO,"Out of her favour, where I am in love."
ROMEO,"Alas, that love, whose view is muffled still,"
ROMEO,"Should, without eyes, see pathways to his will!"
ROMEO,Where shall we dine? O me! What fray was here?
ROMEO,"Yet tell me not, for I have heard it all."
ROMEO,"Here's much to do with hate, but more with love."
ROMEO,"Why, then, O brawling love! O loving hate!"
ROMEO,"O any thing, of nothing first create!"
ROMEO,O heavy lightness! serious vanity!
ROMEO,Mis-shapen chaos of well-seeming forms!
ROMEO,"Feather of lead, bright smoke, cold fire,"
ROMEO,sick health!
ROMEO,"Still-waking sleep, that is not what it is!"
ROMEO,"This love feel I, that feel no love in this."
ROMEO,Dost thou not laugh?
ROMEO,"Good heart, at what?"
ROMEO,"Why, such is love's transgression."
ROMEO,"Griefs of mine own lie heavy in my breast,"
ROMEO,"Which thou wilt propagate, to have it prest"
ROMEO,With more of thine: this love that thou hast shown
ROMEO,Doth add more grief to too much of mine own.
ROMEO,"Love is a smoke raised with the fume of sighs,"
ROMEO,"Being purged, a fire sparkling in lovers' eyes,"
ROMEO,Being vex'd a sea nourish'd with lovers' tears:
ROMEO,"What is it else? a madness most discreet,"
ROMEO,A choking gall and a preserving sweet.
ROMEO,"Farewell, my coz."
ROMEO,"Tut, I have lost myself, I am not here,"
ROMEO,"This is not Romeo, he's some other where."
ROMEO,"What, shall I groan and tell thee?"
ROMEO,Bid a sick man in sadness make his will:
ROMEO,"Ah, word ill urged to one that is so ill!"
ROMEO,"In sadness, cousin, I do love a woman."
ROMEO,A right good mark-man! And she's fair I love.
ROMEO,"Well, in that hit you miss: she'll not be hit"
ROMEO,"With Cupid's arrow, she hath Dian's wit,"
ROMEO,"And, in strong proof of chastity well arm'd,"
ROMEO,From love's weak childish bow she lives unharm'd.
ROMEO,"She will not stay the siege of loving terms,"
ROMEO,"Nor bide the encounter of assailing eyes,"
ROMEO,Nor ope her lap to saint-seducing gold:
ROMEO,"O, she is rich in beauty, only poor,"
ROMEO,That when she dies with beauty dies her store.
ROMEO,"She hath, and in that sparing makes huge waste,"
ROMEO,For beauty starved with her severity
ROMEO,Cuts beauty off from all posterity.
ROMEO,"She is too fair, too wise, wisely too fair,"
ROMEO,To merit bliss by making me despair:
ROMEO,"She hath forsworn to love, and in that vow"
ROMEO,Do I live dead that live to tell it now.
ROMEO,"O, teach me how I should forget to think."
ROMEO,'Tis the way
ROMEO,"To call hers exquisite, in question more:"
ROMEO,These happy masks that kiss fair ladies' brows
ROMEO,"Being black put us in mind they hide the fair,"
ROMEO,He that is strucken blind cannot forget
ROMEO,The precious treasure of his eyesight lost:
ROMEO,"Show me a mistress that is passing fair,"
ROMEO,"What doth her beauty serve, but as a note"
ROMEO,Where I may read who pass'd that passing fair?
ROMEO,Farewell: thou canst not teach me to forget.
ROMEO,Your plaintain-leaf is excellent for that.
ROMEO,For your broken shin.
ROMEO,"Not mad, but bound more than a mad-man is,"
ROMEO,"Shut up in prison, kept without my food,"
ROMEO,"Whipp'd and tormented and--God-den, good fellow."
ROMEO,"Ay, mine own fortune in my misery."
ROMEO,"Ay, if I know the letters and the language."
ROMEO,"Stay, fellow, I can read."
ROMEO,Reads
ROMEO,"'Signior Martino and his wife and daughters,"
